notebook,stage,condition,region_annotation,cell_count,percent_of_final_annotated
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Epidermis 1,356,4.0285
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Early Neuron,352,3.9833
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Epidermis 2,292,3.3043
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Neural Crest,256,2.8969
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Posterior Pre-placodal Region,226,2.5574
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Lateral Mesoderm,226,2.5574
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Hindbrain Primordium,205,2.3198
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Notochord,186,2.1048
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Notoplate,180,2.0369
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Pharyngeal Mesoderm,178,2.0143
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Pronephric Primordium,174,1.969
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage13-WT_Xtrop_descriptive_section_paths.ipynb,Stage13,WT,Midgut Primordium,131,1.4824
